00-00	ꦥꦿꦚꦠꦤ꧀ꦲꦸꦩꦸꦩ꧀ꦔꦼꦤꦤꦶꦲꦏ꧀ꦲꦏ꧀ꦲꦱꦱ꧀ꦱꦶꦲꦸꦩꦠ꧀ꦩꦤꦸꦁꦱ
25-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦤ꧀ꦢꦸꦮꦺꦤꦶꦲꦏ꧀ꦧꦶꦱꦤꦺꦲꦸꦫꦶꦥ꧀ꦏꦤ꧀ꦛꦶꦩꦸꦂꦮꦠ꧀​ ꦏꦁꦒꦺꦴꦏꦱꦫꦱ꧀ꦱꦤ꧀ꦭꦤ꧀ꦏꦠꦼꦤ꧀ꦠꦽꦩ꧀ꦩꦤ꧀ꦤꦺꦢꦭꦱ꧀ꦱꦤ꧀ꦏꦸꦭꦮꦂꦒꦤꦺ꧈​ꦠꦤ꧀ꦏꦼꦫꦶꦲꦶꦁꦧꦧ꧀ꦲꦏ꧀ꦥꦔꦤ꧀​ ꦱꦤ꧀ꦝꦁ꧈​ꦥꦥꦤ꧀​ ꦭꦤ꧀ꦥꦔꦺꦴꦥꦺꦤ꧀ꦤꦶꦁꦏꦱꦫꦱ꧀ꦱꦤ꧀ꦱꦂꦠꦏꦥꦼꦂꦭꦸꦮꦤ꧀ꦱꦺꦴꦱꦶꦪꦭ꧀ꦱꦶꦁꦢꦢꦶꦏꦧꦸꦠꦸꦃꦲꦤ꧀ꦭꦤ꧀ꦲꦏ꧀ꦲꦺꦴꦭꦺꦃꦠꦁꦒꦸꦁꦔꦤ꧀ꦗꦩꦶꦤ꧀ꦤꦤ꧀ꦤꦭꦶꦏꦔꦭꦩ꧀ꦩꦶꦔꦁꦒꦸꦂ꧈​ꦤꦤ꧀ꦝꦁꦭꦫ꧈​ꦕꦕꦠ꧀​ ꦢꦢꦶꦮꦫꦤ꧀ꦝ꧈​ꦚꦤ꧀ꦢꦏ꧀ꦲꦸꦩꦸꦂꦠꦸꦮ꧈​ꦲꦸꦠꦮꦏꦲꦤꦤ꧀ꦭꦶꦪꦤꦺꦏꦁꦚ꧀ꦗꦭꦂꦫꦶꦏꦕꦶꦁꦏꦿꦁꦔꦤ꧀​ꦏꦁꦚꦠꦔ꧀ꦭꦸꦮꦶꦃꦲꦶꦢꦪꦏꦼꦏꦸꦮꦠ꧀ꦠꦤ꧀ꦤꦺ꧉​
25-01	ꦥꦫꦧꦶꦪꦸꦁꦭꦤ꧀ꦧꦺꦴꦕꦃꦧꦺꦴꦕꦃꦢꦂꦧꦺꦲꦏ꧀ꦲꦺꦴꦭꦺꦃꦥꦔꦺꦴꦥꦺꦤ꧀ꦭꦤ꧀ꦥꦶꦠꦸꦭꦸꦁꦔꦤ꧀ꦩꦶꦫꦸꦁꦒꦤ꧀꧈​ꦏꦧꦺꦃꦧꦺꦴꦕꦃ꧈​ꦏꦁꦭꦲꦶꦂꦲꦶꦁꦱꦗꦿꦺꦴꦤꦶꦁꦠꦠꦤꦤ꧀ꦤꦶꦁꦏꦃꦲꦸꦠꦮꦱꦚ꧀ꦗꦧꦤꦶꦁꦠꦠꦤꦤ꧀ꦤꦶꦁꦏꦃꦏꦸꦢꦸꦲꦤ꧀ꦠꦸꦏ꧀ꦥꦔꦪꦺꦴꦩ꧀ꦩꦤ꧀ꦱꦺꦴꦱꦶꦪꦭ꧀ꦏꦁꦥꦝ꧉​
26-00	ꦧꦧ꧀꧇꧒꧖꧇​
26-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦲꦺꦴꦭꦺꦃꦥꦁꦒꦸꦭꦺꦴꦮꦼꦤ꧀ꦛꦃꦲꦶꦁꦱꦼꦏꦺꦴꦭꦃꦏꦤ꧀ꦛꦶꦒꦿꦠꦶꦱ꧀​ ꦱꦲꦺꦴꦫꦲꦺꦴꦫꦤꦺꦠꦸꦩ꧀ꦫꦥ꧀ꦱꦼꦏꦺꦴꦭꦃꦝꦱꦂ꧉​ꦱꦼꦏꦺꦴꦭꦃꦝꦱꦂꦏꦮꦗꦶꦧ꧀ꦧꦏꦺ꧉​ꦱꦼꦏꦺꦴꦭꦃꦠꦺꦃꦤꦶꦏ꧀ꦭꦤ꧀ꦗꦸꦫꦸꦱ꧀ꦱꦤ꧀ꦲꦸꦩꦸꦩ꧀ꦏꦁꦒꦺꦴꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦏꦤ꧀ꦛꦶꦠꦶꦤꦂꦧꦸꦏ꧈​ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦧꦶꦱꦭꦸꦩꦼꦧꦸꦲꦶꦁꦱꦼꦏꦺꦴꦭꦃꦭꦸꦲꦸꦂꦏꦤ꧀ꦛꦶꦥꦿꦤꦠꦤ꧀ꦏꦁꦥꦝꦱꦭꦫꦱ꧀ꦏꦫꦺꦴꦩꦸꦂꦮꦠ꧀ꦭꦤ꧀ꦥꦤ꧀ꦠꦼꦱ꧀ꦱꦺ꧉​
26-01	꧋ꦥꦁꦒꦸꦭꦺꦴꦮꦼꦤ꧀ꦛꦃꦏꦸꦢꦸꦏꦲꦼꦤꦼꦂꦫꦏꦺꦲꦩꦿꦶꦃꦱꦧꦼꦤ꧀ꦥꦿꦶꦧꦢꦶꦲꦶꦱꦩꦼꦏꦂꦏꦤ꧀ꦛꦶꦲꦺꦴꦩ꧀ꦧꦺꦂ꧈​ꦲꦶꦱꦤ꧀ꦢꦪꦤꦶꦱꦪꦏꦤ꧀ꦢꦼꦭ꧀ꦭꦺꦫꦱꦧꦶꦱꦔꦗꦺꦤ꧀ꦤꦶꦭꦤ꧀ꦔꦸꦂꦩꦠ꧀ꦠꦶꦲꦏ꧀ꦲꦏ꧀ꦲꦱꦱ꧀ꦱꦶꦲꦸꦩꦠ꧀ꦩꦤꦸꦁꦱꦭꦤ꧀ꦏꦧꦺꦧꦱ꧀ꦱꦤ꧀ꦏꦧꦺꦧꦱ꧀ꦱꦤ꧀ꦏꦁꦧꦏꦸ꧉​ꦥꦁꦒꦸꦭꦺꦴꦮꦼꦤ꧀ꦛꦃꦲꦶꦁꦥꦮꦶꦪꦠ꧀ꦠꦤ꧀ꦏꦸꦢꦸꦧꦶꦱꦤꦼꦤꦁꦔꦶꦭꦤ꧀ꦩꦼꦏꦂꦫꦏꦺꦫꦱꦠꦼꦥꦱꦭꦶꦫꦏꦫꦺꦴꦥꦼꦥꦝꦤꦺ꧈​ꦩꦼꦏꦂꦫꦶꦁꦥꦩꦶꦠꦿꦤ꧀​ ꦥꦱꦼꦢꦸꦭꦸꦂꦫꦤ꧀ꦲꦶꦁꦲꦤ꧀ꦠꦫꦤꦺꦧꦁꦱꦧꦁꦱ꧈​ꦧꦼꦧꦿꦪꦤ꧀​ ꦫꦱ꧀ꦲꦥꦢꦺꦤꦺꦲꦒꦩ꧈​ꦱꦂꦠꦚ꧀ꦗꦭꦂꦫꦶꦏꦸꦢꦸꦱꦪꦩꦗꦸꦤꦶꦁꦥꦱꦫꦺꦏꦠ꧀ꦠꦤ꧀ꦧꦁꦱꦧꦁꦱꦱꦗꦿꦺꦴꦤꦶꦁꦩꦼꦩꦼꦠꦿꦶꦭꦤ꧀ꦚꦶꦥ꧀ꦠꦝꦩꦺꦤ꧀꧉​
26-02	꧋ꦥꦫꦮꦺꦴꦁꦠꦸꦮ꧈​ꦢꦂꦧꦺꦲꦏ꧀ꦲꦸꦠꦩꦱꦗꦿꦺꦴꦤꦶꦁꦩꦶꦭꦶꦃꦥꦮꦶꦪꦠ꧀ꦠꦤ꧀ꦥꦥꦤ꧀ꦥꦁꦒꦸꦭꦺꦴꦮꦼꦤ꧀ꦛꦃꦏꦁꦒꦺꦴꦲꦤꦏ꧀ꦲꦤꦏ꧀ꦏꦺ꧉​
27-00	ꦧꦧ꧀꧇꧒꧗꧇​
27-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦸꦮꦺꦲꦏ꧀ꦔꦿꦱꦸꦏ꧀ꦭꦤ꧀ꦲꦩ꧀ꦧꦾꦸꦂꦲꦶꦁꦏꦶꦥꦿꦃꦲꦶꦁꦏꦧꦸꦢꦪꦤ꧀ꦲꦶꦁꦱꦢꦶꦤꦢꦶꦤꦤꦺꦲꦶꦁꦧꦼꦧꦿꦪꦤ꧀​ ꦔꦽꦱꦼꦥ꧀ꦥꦶꦱꦼꦤꦶ꧈​ꦭꦤ꧀ꦧꦶꦱꦔꦿꦱꦏ꧀ꦏꦏꦺꦔꦭꦩ꧀ꦩꦶꦩꦗꦸꦤꦶꦁꦲꦸꦫꦶꦥ꧀ꦭꦤ꧀ꦥꦲꦺꦢꦃꦲꦶꦁꦏꦮꦿꦸꦃ꧉​
27-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦸꦮꦺꦲꦏ꧀ꦲꦤ꧀ꦠꦸꦏ꧀ꦥꦔꦪꦺꦴꦩ꧀ꦩꦤ꧀ꦲꦁꦒꦺꦴꦤ꧀ꦤꦺꦏꦶꦥꦿꦃꦭꦤ꧀ꦩꦏꦂꦪꦲꦶꦁꦧꦧꦒ꧀ꦒꦤ꧀ꦔꦺꦭ꧀ꦩꦸꦭꦤ꧀ꦏꦮꦿꦸꦃꦏꦁꦲꦫꦸꦥꦥꦔꦪꦺꦴꦩ꧀ꦩꦤ꧀ꦩꦫꦁꦏꦲꦸꦤ꧀ꦠꦸꦁꦔꦤ꧀ꦱꦶꦁꦲꦮꦸꦗꦸꦢ꧀ꦩꦺꦴꦫꦶꦭ꧀ꦲꦸꦠꦮꦩꦠꦺꦫꦶꦪꦶꦭ꧀꧈​ꦲꦸꦒꦲꦶꦁꦏꦱꦸꦱꦱ꧀ꦠꦿꦤ꧀ꦲꦸꦠꦮꦱꦼꦤꦶꦏꦁꦕꦶꦤꦶꦥ꧀ꦠꦏꦂꦪꦤꦺ꧉​
28-00	ꦧꦧ꧀꧇꧒꧘꧇​
28-01	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦢꦂꦧꦺꦲꦏ꧀ꦲꦶꦁꦔꦠꦱꦺꦥꦿꦤꦠꦤ꧀ꦱꦺꦴꦱꦶꦪꦭ꧀​ ꦤꦱꦶꦪꦺꦴꦤꦭ꧀​ ꦭꦤ꧀ꦆꦤ꧀ꦠꦼꦂꦤꦱꦶꦪꦺꦴꦤꦭ꧀​ ꦱꦭꦫꦱ꧀ꦏꦫꦺꦴꦲꦏ꧀ꦲꦏ꧀ꦭꦤ꧀ꦏꦧꦺꦧꦱꦤ꧀ꦏꦧꦺꦧꦱꦤ꧀ꦏꦁꦏꦩꦺꦴꦠ꧀ꦲꦶꦁꦥꦿꦚꦠꦤ꧀ꦲꦶꦏꦶꦧꦶꦱꦏꦤ꧀ꦛꦶꦠꦼꦩꦼꦤ꧀ꦩꦮꦸꦗꦸꦢ꧀꧈​
29-00	ꦧꦧ꧀꧇꧒꧙꧇​
29-00	꧋ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦤ꧀ꦢꦸꦮꦺꦤꦶꦏꦸꦮꦗꦶꦧ꧀ꦧꦤ꧀ꦩꦫꦁꦧꦼꦧꦿꦪꦤ꧀​ꦏꦁꦱꦚꦠꦤꦺꦲꦺꦴꦫꦲꦤꦥꦥꦤ꧀ꦭꦶꦪꦏꦁꦧꦶꦱꦢꦢꦶꦥꦥꦤ꧀ꦩꦼꦏꦂꦫꦶꦁꦏꦥꦿꦶꦧꦢꦺꦤ꧀ꦏꦤ꧀ꦛꦶꦧꦺꦧꦱ꧀ꦱꦂꦠꦠꦼꦩꦼꦤ꧀ꦠꦸꦩꦼꦩꦼꦤ꧀꧈​
29-01	꧋ꦱꦗꦿꦺꦴꦤꦶꦁꦔ꧀ꦭꦼꦏ꧀ꦱꦤꦤꦶꦲꦏ꧀ꦲꦏ꧀ꦭꦤ꧀ꦏꦧꦺꦧꦱ꧀ꦱꦤ꧀ꦏꦧꦺꦧꦱ꧀ꦱꦤ꧀ꦤꦺ꧈​ꦱꦧꦼꦤ꧀ꦲꦸꦮꦺꦴꦁꦏꦸꦢꦸꦩ꧀ꦧꦔꦸꦤ꧀ꦩꦶꦠꦸꦫꦸꦠ꧀ꦩꦫꦁꦥꦿꦤꦠꦤ꧀ꦏꦁꦱꦭꦫꦱ꧀ꦏꦫꦺꦴꦲꦁꦒꦼꦂꦲꦁꦒꦼꦂ꧈​ꦏꦁꦲꦶꦱꦶꦲꦚ꧀ꦕꦱ꧀ꦭꦤ꧀ꦠꦸꦗꦸꦮꦤ꧀ꦱꦶꦁꦲꦺꦴꦫꦲꦤꦭꦶꦪꦏꦗꦧꦩꦸꦁꦲꦩꦿꦶꦃꦒꦸꦩꦺꦴꦭꦺꦴꦁꦔꦶꦁꦤꦶꦪꦠ꧀ꦔꦸꦒꦼꦩ꧀ꦩꦶꦭꦤ꧀ꦔꦸꦂꦩꦠ꧀ꦠꦶꦏꦤ꧀ꦛꦶꦠꦽꦥ꧀ꦩꦫꦁꦲꦏ꧀ꦲꦏ꧀ꦭꦤ꧀ꦏꦧꦺꦧꦱ꧀ꦱꦤ꧀ꦏꦧꦺꦧꦱ꧀ꦱꦤ꧀ꦲꦸꦮꦺꦴꦁꦭꦶꦪꦤꦺ꧈​ꦏꦁꦒꦺꦴꦩꦸꦗꦸꦢ꧀ꦠꦏꦺꦱꦾꦫꦠ꧀ꦱꦾꦫꦠ꧀ꦏꦁꦲꦢꦶꦭ꧀ꦲꦶꦁꦧꦧ꧀ꦏꦱꦸꦱꦶꦭꦤ꧀​ ꦠꦼꦂꦠꦶꦧ꧀ꦠꦸꦩꦠꦭꦤ꧀ꦏꦠꦼꦤ꧀ꦠꦽꦩ꧀ꦩꦤ꧀ꦤꦶꦁꦲꦸꦩꦸꦩ꧀​ ꦲꦶꦁꦧꦼꦧꦿꦪꦤ꧀ꦏꦁꦢꦺꦩꦺꦴꦏꦿꦠꦶꦱ꧀꧈​
29-02	꧋ꦲꦏ꧀ꦲꦏ꧀ꦭꦤ꧀ꦏꦧꦺꦧꦱ꧀ꦱꦤ꧀ꦏꦧꦺꦧꦱ꧀ꦱꦤ꧀ꦏꦱꦼꦧꦸꦠ꧀꧈​ꦏꦤ꧀ꦛꦶꦲꦊꦱ꧀ꦱꦤ꧀ꦭꦤ꧀ꦥꦮꦢ꧀ꦢꦤ꧀ꦲꦥꦮꦲꦺ꧈​ꦲꦺꦴꦫꦏꦼꦤꦢꦶꦭꦏ꧀ꦱꦤꦤꦶꦤꦭꦶꦱꦶꦂꦏꦫꦺꦴꦲꦚ꧀ꦕꦱ꧀ꦭꦤ꧀ꦠꦸꦗꦸꦮꦤ꧀ꦱꦂꦠꦮꦼꦮꦠꦺꦴꦤ꧀ꦮꦼꦮꦠꦺꦴꦤ꧀ꦤꦶꦁꦥꦱꦫꦺꦏꦠ꧀ꦠꦤ꧀ꦧꦁꦱꦧꦁꦱ꧉​
30-00	ꦧꦧ꧀꧇꧓꧐꧇​
30-01	꧋ꦲꦺꦴꦫꦲꦤꦱꦶꦗꦶꦮꦲꦺꦲꦶꦱꦶꦱꦗꦿꦺꦴꦤꦶꦁꦥꦿꦚꦠꦤ꧀ꦲꦶꦏꦶꦏꦼꦤꦏꦠꦥ꧀ꦱꦶꦂꦩꦺꦤꦺꦃꦲꦶꦏꦭꦺꦴꦝꦁꦔꦤ꧀ꦩꦫꦁꦱꦮꦶꦗꦶꦤꦶꦁꦤꦒꦫ꧈​ꦥꦒꦸꦪꦸꦧ꧀ꦧꦤ꧀​ ꦲꦸꦠꦮꦥꦿꦶꦧꦢꦶ꧈​ꦏꦁꦲꦮꦸꦗꦸꦢ꧀ꦲꦏ꧀ꦱꦸꦥꦪꦲꦺꦴꦭꦺꦃꦲꦸꦠꦮꦩꦸꦫꦶꦃꦲꦏꦺꦲꦤ꧀ꦠꦸꦏ꧀ꦥꦏꦂꦪꦤ꧀ꦲꦥꦮꦲꦺ꧈​ꦲꦸꦠꦮꦔ꧀ꦭꦏꦺꦴꦤ꧀ꦤꦶꦠꦸꦩꦶꦤ꧀ꦢꦏ꧀ꦏꦤ꧀ꦛꦶꦠꦸꦗꦸꦮꦤ꧀ꦔꦿꦸꦱꦏ꧀ꦲꦏ꧀ꦲꦏ꧀ꦭꦤ꧀ꦏꦧꦺꦧꦱ꧀ꦱꦤ꧀ꦏꦧꦺꦧꦱ꧀ꦱꦤ꧀ꦮꦸꦗꦸꦢ꧀ꦲꦥꦮꦲꦺꦏꦁꦏꦥꦕꦏ꧀ꦲꦶꦁꦱꦗꦿꦺꦴꦤꦶꦁꦥꦿꦚꦠꦤ꧀ꦲꦶꦏꦶ꧉​
