00-00	ᨠᨲᩥᨠᩣᩅᩤ᩵ᨯ᩠ᩅ᩠ᨿᩢᨾᨶᩩᩔᨩᩣ᩠ᨲ
26-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᨠᩣ᩠ᩁᩈ᩠ᨠᩧᩈᩣ ᨠᩣ᩠ᩁᩈ᩠ᨠᩧᩈᩣᨧᩢᨯᩱᩢᩉᩨ᩶ᨼᩁᩦ ᨴᩦ᩵ᨠᩮ᩵ᨣᩢᨶᩱᨩ᩠ᨶᩢᩢᩉᩮ᩠ᨦᩢᩢᩣ ᩓᩢᨠᩣ᩠ᩁᩈ᩠ᨠᩧᩈᩣᨩ᩠ᨶᩢᩢᨾᩪᩃ ᨠᩣ᩠ᩁᩈ᩠ᨠᩧᩈᩣᨩ᩠ᨶᩢᩢᨾᩪᩃ ᨧᩢᨯᩱᩢᨸᩮ᩠ᨶᨠᩣ᩠ᩁᨷ᩠ᨦᩢᨣᩢ᩠ᨷ ᨠᩣ᩠ᩁᩈ᩠ᨠᩧᩈᩣᩅᩥᨩᩣᨣ᩠ᩅᩣ᩠ᨾᩁᩪᩢᩓᩢᩅᩥᨩᩣᩃᩢ᩠ᨿᨦᨲ᩠ᩅᩫ ᨧᩢᨯᩱᩢᨸ᩠ᨯᩨᨠ᩠ᩅᩢᩣ᩠ᨦᨯᩰ᩠ᨿᨴ᩠ᩅᩫ᩵ᨻᩱ ᩓᩢᨠᩣ᩠ᩁᩈ᩠ᨠᩧᩈᩣᨩ᩠ᨶᩢᩢᩈᩪᨦᨡ᩠ᨶᩨ᩶ᨻᩱ ᨧᩢᨯᩱᩢᨸ᩠ᨯᩨᩈ᩵ᩴᩣᩁᩢ᩠ᨷᨴᩩᨠᨤ᩠ᨶᩫᨡᩮᩢᩢᩣᩈ᩠ᨠᩧᩈᩣᨯᩱᩢ ᨹ᩠ᨿ᩵ᨦᨻ᩠ᨿᨦᨠ᩠ᨶᩢ ᨲᩣ᩠ᨾᨮᩣᨶᩉᩯ᩵ᨩ᩠ᨶᩢᩢᨠᩣ᩠ᩁᩈ᩠ᨠᩧᩈᩣ
26-02	ᨠᩣ᩠ᩁᩈ᩠ᨠᩧᩈᩣᨧᩢᨯᩱᩢᩉᩨ᩶ᨸᩮ᩠ᨶᨻᩱᨴᩤ᩠ᨦ ᩅᨯ᩠ᨰᨶᩣᨠᩣ᩠ᩁᨸᩮ᩠ᨶᩀᩪ᩵ᨡ᩠ᩋᨦᨾᨶᩩᩔ᩼ᩀ᩵ᩣ᩠ᨦᨲᩮ᩠ᨾᨴᩦ᩵ ᩓᩢᨿ᩠ᨦᩢᨤᩮᩢᩣᩁᩫ᩠ᨷᨲᩳ᩵ᩈᩥᨴ᩠ᨵᩥᨾᨶᩩᩔᨩᩣ᩠ᨲ ᩓᩢᨻ᩠ᨦᩈᩁᨽᩣ᩠ᨷ ᩉᩖᩢᨠᨠᩣ᩠ᩁᩉᩨ᩶ᩉ᩠ᨾᩢᩢᩁᨠᩯ᩠ᨶ᩵ᩉᩯ᩠ᨶᩢᩁᨡᩯ᩠ᨦ ᨧᩢᨯᩱᩢᨸ᩠ᨶᩢᩁᩯ᩠ᨦ ᩉᩨ᩶ᨾᩦᨡᨶ᩠ᨲᩥᨵᨾ᩠ᨾ᩼ ᨷᩢᨣᩢᩈᩣᩈᨶᩣ ᩓᩢᨸᩮ᩠ᨶᨾ᩠ᨲᩥᨾᩱᨲᩕᩦᨲᩳ᩵ ᨾᨶᩩᩔᨩᩣ᩠ᨲ ᨩᩮ᩠ᩋᩨ᩶ᨩᩣ᩠ᨲ ᩈᩣᩈᨶᩣ ᩓᩢᨧᩢᨯᩱᩢᨸ᩠ᨶᩢᩁᩯ᩠ᨦᩉ᩠ᨶᩢᩣᨠᩣ᩠ᩁᨡ᩠ᩋᨦᩈᩉᨷᨩᩣᨩᩣ᩠ᨲ ᨻᩮ᩠ᩋᩨ᩵ᩁ᩠ᨠᩢᩈᩣᩅᩱᩢᨪ᩠ᨦᩨ᩵ᩈᨶ᩠ᨲᩥᩈᩩᨡ
26-03	ᨷᩥᨲᩣᨾᩣᨯᩣ ᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᨠᩣ᩠ᩁᨧ᩠ᨯᩢᩃᩮ᩠ᨠᩨᨠᩣ᩠ᩁᩈ᩠ᨠᩧᩈᩣᨷᩮ᩠ᨦᩨ᩶ᨲ᩠ᨶᩫᩢ ᩉᩨᩢᨠᩯ᩵ᩃᩪᨠᨡ᩠ᩋᨦᨲ᩠ᨶᩫ
27-00	ᨡᩳ᩶ 27
27-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨡᩮᩢᩢᩣᩁ᩠ᩅ᩵ᨾ ᨶᩱᨴᩤ᩠ᨦᩅᨯ᩠ᨰᨶᨵᨾ᩠ᨾ᩼ᨡ᩠ᩋᨦᨷᨩᩣᨣ᩠ᨾᩫᨯᩰ᩠ᨿᨻ᩠ᨦᩈᩁ ᩋ᩠ᨶᩢᨧᩢᨾ᩠ᩅ᩵ᩁᨿᩮ᩠ᨾᩨᨧᩱ ᨶᩱᨴᩤ᩠ᨦᩈᩥᩃᨷᩓᩢ ᨴᩦ᩵ᨧᩢᨾᩦᩈ᩠ᩅ᩵ᩁᨶᩱᨣ᩠ᩅᩣ᩠ᨾᨧᩁᩮᩨ᩠ᨬ ᩓᩢᨣᩩᨱᨷᩕᨿᩰᨩ᩠ᨶ᩼ᨴᩤ᩠ᨦ ᩅᩥᨴ᩠ᨿᩣᩈᩣ᩠ᩈᨲᩕ᩼
27-02	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨴᩦ᩵ᨧᩢᨯᩱᩢᩁᩢ᩠ᨷᨠᩣ᩠ᩁᨣᩩᩢᨾᨡ᩠ᩅᩣ᩠ᨦ ᩈ᩠ᩅ᩵ᩁᨯᩱᩢᩈ᩠ᩅ᩵ᩁᨸᩮ᩠ᨶᨴᩤ᩠ᨦᩈᩦᩃᨵᨾ᩠ᨾ᩼ ᩓᩢᨴᩤ᩠ᨦᩅᨲ᩠ᨳᩩ ᩋ᩠ᨶᩢᨸᩮ᩠ᨶᨸᩮ᩠ᨶᨹᩫ᩠ᩃᨾᩣᨧᩣ᩠ᨠ ᨠᩣ᩠ᩁᨲᩯ᩠ᨦ᩵ᩈᩢᩣ᩠ᨦᨯᩱ ᨴᩤ᩠ᨦᩅᩥᨴ᩠ᨿᩣᩈᩣ᩠ᩈᨲᩕ᩼ ᨠᩣ᩠ᩁᨲᩯ᩠ᨦ᩵ᨲᩯ᩠ᨾᩢ ᩓᩢᨴᩤ᩠ᨦᩈᩥᩃᨷ ᩋ᩠ᨶᩢᨲ᩠ᨶᩫᨸᩮ᩠ᨶᨹᩪᩢᨸ᩠ᩋᨦᩋ᩠ᩋᨠ
28-00	ᨡᩳ᩶ 28
28-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩈᩥᨴ᩠ᨵᩥᨶᩱᩁᨷ᩠ᨿᨷᨴᩤ᩠ᨦᩈ᩠ᨦᩢᨣ᩠ᨾᩫ ᩓᩢᩁᩉ᩠ᩅ᩵ᩣ᩠ᨦᨷᩕᨴᩮ᩠ᩈ ᩋ᩠ᨶᩢᨧᩢᨸᩮ᩠ᨶᨴᩤ᩠ᨦᩉᩨ᩶ᩈ᩵ᩴᩣᩁᩮ᩠ᨧᨹᩫ᩠ᩃᨲᩮ᩠ᨾᨴᩦ᩵ ᨲᩣ᩠ᨾᩈᩥᨴ᩠ᨵᩥᩓᩢᨻ᩠ᨦᩈᩁ ᨯ᩠ᨦᩢ᩵ᨴᩦ᩵ᨠ᩵ᩴᩣᩉ᩠ᨶᩫᨯᩅᩱᩢᨶᩱᨠᨲᩥᨠᩣᩋ᩠ᨶᩢᨶᩦ᩶
29-00	ᨡᩳ᩶ 29
29-01	ᨴᩩᨠᨤ᩠ᨶᩫᨾᩦᩉ᩠ᨶᩢᩣᨴᩦ᩵ᨲᩳ᩵ᨷᨩᩣᨣ᩠ᨾᩫ ᨯᩢ᩠ᩅ᩠ᨿᨠᩣ᩠ᩁᩅᨯ᩠ᨰᨶᩣᨷᩩᨣ᩠ᨣᩃᩥᨠᨽᩣ᩠ᨷᨡ᩠ᩋᨦᨲ᩠ᨶᩫ ᨯᩰ᩠ᨿᨻ᩠ᨦᩈᩁᨲᩮ᩠ᨾᨴᩦ᩵ ᨧᩢᩉᩮ᩠ᨯᨯᩱᩢᨣᩢᨲᩯ᩵ᨶᩱᨷᨩᩣᨣ᩠ᨾᩫᨴᩮᩢ᩵ᩣᨶ᩠ᨶᩢᩢ
29-02	ᨶᩱᨠᩣ᩠ᩁᨩᩱᩢᩈᩥᨴ᩠ᨵᩥᩓᩢᨻ᩠ᨦᩈᩁᨽᩣ᩠ᨷᨡ᩠ᩋᨦᨲ᩠ᨶᩫ ᨴᩩᨠᨤ᩠ᨶᩫᨲ᩠ᩋᩢᨦᩀᩪ᩵ᨶᩱᨡᩳ᩶ᩁᨷ᩠ᨿᨷ ᨲᩣ᩠ᨾᨴᩦ᩵ᨯᩱᩢᩉ᩠ᨾᩣ᩠ᨿᩅᩱᩢᨶᩱᨠ᩠ᨭᩫᩉ᩠ᨾᩣ᩠ᨿᨴᩮᩢ᩵ᩣᨶ᩠ᨶᩢᩢ ᨻᩮ᩠ᩋᩨ᩵ᨷᩕᨿᩰᨩ᩠ᨶ᩼ ᩓᩢᨧᩢᨯᩱᩢᨣ᩠ᩅᩣ᩠ᨾᨶᩢ᩠ᨷᨳᩨ ᩓᩢᨤᩮᩢᩣᩁᩫ᩠ᨷᩈᩥᨴ᩠ᨵᩥᩈᩮᩁᩦᨽᩣ᩠ᨷᨡ᩠ᩋᨦᨹᩪᩢᩋ᩠ᨶᩨ᩵ᨲᩣ᩠ᨾᩈ᩠ᨾᩫᨣ᩠ᩅᩁ ᩓᩢᨴᩦ᩵ᨧᩢᨯᩱᩢᨳᩫ᩠ᨷᨠᩢ᩠ᨷᨣ᩠ᩅᩣ᩠ᨾᨲ᩠ᩋᩢᨦᨠᩣ᩠ᩁᩋ᩠ᨶᩢᨹ᩠ᨿ᩵ᨦᨻ᩠ᨿᨦᨠ᩠ᨶᩢᩉᩯ᩠ᨦ᩵ᩈᩦᩃᨵᨾ᩠ᨾ᩼ ᨣ᩠ᩅᩣ᩠ᨾᩈ᩠ᨦᩫᨷᩁ᩠ᨿᨷᩁᩢᩭ ᨡ᩠ᩋᨦᨤ᩠ᨶᩫᨾᩮ᩠ᨦᩨ ᩓᩢᨠᩣ᩠ᩁᨩ᩵ᩭᨳᩯ᩠ᨾᨶᩱᩈ᩠ᨦᩢᨣ᩠ᨾᩫᨷᨩᩣᨵᩥᨷᨲᩱ᩠ᨿ
29-03	ᩈᩥᨴ᩠ᨵᩥᩓᩢᨻ᩠ᨦᩈᩁᨽᩣ᩠ᨷᨩᩮ᩠ᩋᩨᨶᩦ᩶ ᨧᩢᨩᩱᩢᨡ᩠ᨯᩢᨲᩳ᩵ᨡᩳ᩶ᩋᩢᩣ᩠ᨦᩉ᩠ᨾᩣ᩠ᨿ ᩓᩢᩉᩖᩢᨠᨠᨠᩣ᩠ᩁ ᨡ᩠ᩋᨦᩈᩉᨷᨩᩣᨩᩣ᩠ᨲᨷᩢᨯᩱᩢ ᨷᩢᩅᩤ᩵ᩁᩮ᩠ᨦᩨ᩵ᨯᩱᪧᨣᩢᨲᩣ᩠ᨾ
30-00	ᨡᩳ᩶ 30
30-01	ᨷᩢᨾᩦᨷ᩠ᨴᩫᨯᩱᨶᩱᨷᨭᩥᨬ᩠ᨬᩣᨶᩦ᩶ ᩋ᩠ᨶᩢᩉᩨ᩶ᩈᩥᨴ᩠ᨵᩥᨯᩱᪧ ᨠᩯ᩵ᨷᩤ᩠ᨶᩢᨾᩮ᩠ᨦᩨ ᩉ᩠ᨾᩪ᩵ᨤ᩠ᨶᩫ ᩉᩕᩨ ᩈ᩠ᩅ᩵ᩁᨲ᩠ᩅᩫ ᨶᩱᨠᩣ᩠ᩁᨴᩦ᩵ᨧᩢᩉᩮ᩠ᨯᨠᩣ᩠ᩁᨯᩱᪧ ᨷᩢᨣᩢᨸ᩠ᩋᨦᨠᩣ᩠ᩁᨯᩱᪧ ᩋ᩠ᨶᩢᨸᩮ᩠ᨶᨠᩣ᩠ᩁᨾᩢᩣ᩠ᨦᩈᩮᨿ᩠ᨦᩢᩈᩥᨴ᩠ᨵᩥᩓᩢᩈᩮᩁᩦᨽᩣ᩠ᨷ ᨲᩣ᩠ᨾᨯ᩠ᨦᩢ᩵ᨴᩦ᩵ᩉ᩠ᨾᩣ᩠ᨿᩅᩱᩢᨶᩦ᩶
